rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
140696,72498.5,35250.6,37723.9,53632,47104.6,314594,172231,131432,56241.3,169856,383691,105252,34401.6,144933,102067,123255,70784.2,422893,154823,146091,236696,127591,20211.3,164177,36809.4,77474.8,135926,232680,77715.9,262836,43123,49221.7,32736.7,58567.2,82918.8,159181,38850.5,60286.6,40291,117410,29138.3,32225.7,62018.4,51762.9,30650.6,88401.1,54144.1,26339,37288.8,13966.8,55959.5,6206.12,23063.7,28949.9,49133.2,24773.6,32021,4324.65,9143.06,11944.6,21341.2,15210.3,14954.9,10427,20898.1,10395.5,43750.3,61653.2,8898.18,44266.6,36426.2,28524.8,60257,99306.4,111346,42272.8,33040.3,26817.5,64900.6,102737,65921.9,117381
56031.8,57827.9,51249.4,143812,73015.2,80773.2,329256,118365,122646,39445.4,351786,481670,117004,45271.3,73725.4,71733.3,422341,81161,413421,162126,283782,130275,87299.1,55238.7,346905,16399,112959,185156,191602,57015.6,156117,53329.6,30552.2,101060,116556,69807.2,155542,30946.3,38456.4,50967,103695,46586.6,67332.4,37399.4,44293.8,48171.8,85159.1,49144.7,102606,38424.2,32069.9,30512,7346.73,18862.2,37564.3,66597.2,30321,63935.4,17934.6,14366.7,12046.3,22773,36453.8,35373.8,15185.8,38103,23403.2,66373.5,59588.8,34531.8,60530.2,28396.1,51523.8,118991,154134,203723,30166,39648.2,60588,94810.2,254084,72886.2,112388
30416.5,115182,140860,153583,74462.6,92145.2,542097,315455,77832.2,49677.4,313438,472962,113160,46253,51282.8,85857.3,261053,79567.2,640917,87751.4,289790,90433,174616,41619.8,135312,37723.3,70782.2,248050,257631,64436.1,92990.9,63218.5,73772.7,104651,157150,55721.3,102651,37540.1,75894.6,47659.3,89191.1,41377.7,41148.7,98356.3,66103.1,110470,61732,46235.7,69868.5,122491,39309.3,34387.3,8545.02,14006,35549.5,75946.5,21204.3,100059,17446.6,9441.97,12535.3,24774.8,24742.2,21767.1,16401,38831.3,43188.6,52235.9,34935.3,29949.9,36088.6,15958.8,65232.3,71326.4,74944.5,144833,22179.9,31632.1,38826.6,102519,158673,37999.6,27879
48143.5,76458.4,93271.2,56016.6,54726.5,234922,485330,375264,85834.7,174216,247271,309222,218015,53930.8,37163.6,141293,254043,81367.9,297087,98132.7,172976,221100,155822,19289.7,204234,58165.7,100791,227022,196246,31618.4,88044.1,41261.4,81011.5,71496.1,177297,48547,129467,59309.9,50655.3,48190.5,174574,23552.2,35984.9,180774,55039.6,95650.3,42409.5,47643.9,163362,146299,29271.2,23794.1,19101.4,15687.9,57369.6,61376.2,29589.5,165141,33610.7,17768.5,21265.5,48502.2,54610.5,28610.9,26347.5,79710,146386,66280,154198,81345.6,103768,20630.4,93967,122278,110481,324435,55841.9,30698.9,94303.5,258179,234121,50929.4,56641.5
58250.4,35289.6,32535,140071,59459,176118,250430,602179,81769.6,154135,97613,383785,238772,74699.2,72370,132985,227817,85431.1,77144.5,98218.3,176714,260783,120683,15484.7,221271,46299.8,113101,167304,64752.6,14737.7,46897.7,49943.2,89116,80654,134769,57937.2,45880,86423.3,25026.5,121485,84045.4,20777.1,18974.7,109479,68952.6,65656,45047.5,43499.1,69471.3,146102,26281.1,52414.5,19517.3,13481.9,25038,36131.5,29538.5,71236.7,20615.5,12475.5,7295.24,32415.7,21578.3,30416.2,27774.7,46410.3,71160.7,33976.2,52434.4,41580.5,131343,42459.6,42202.5,199238,45432.2,59366.9,48322.4,33413.1,111119,92827.1,411466,58114.8,54602.8
87320.6,36033,43799.4,106116,60681.7,66819.7,308081,470285,65461.7,277448,71358.3,392203,310388,123490,245180,61831.1,128552,73236.6,154895,65620.7,251500,127643,172567,18622.1,114741,94038.8,70310.5,179397,156661,25838.8,88278.6,30112,58013.4,106823,154725,57673.8,80718.7,73613.6,44511.9,69664.2,70536.3,42908.2,25258.2,113011,60689.5,84393.2,83120.5,38348.9,78420.5,108237,49131.5,42158.7,25186.5,14681.4,35548.8,24206.1,49145.6,65483.9,18715.8,17649.4,13734.8,32480.4,44574.6,50078.4,48917.9,35987.8,104017,62640.6,60461.8,35444.1,115610,43814,37868.7,145904,68619.2,91707.3,44588,59507.2,166950,198734,370206,40667.5,61616.1
85708.8,50707.8,28669.8,76493.2,94583.6,26819.3,238353,319413,100855,481116,41876,470030,433828,125326,134417,55859.8,218009,106408,165500,38716.3,361907,51924.1,94489.8,39627.1,172453,40064.6,53882.4,348139,133188,51965.9,33966.2,45690.2,75336.3,167783,91948.3,159102,39675.5,84964.7,28921.4,53288.2,101190,23840.2,76369.8,121548,56471.9,82346.8,64022.7,26969.4,97275,68325.8,54659.1,40119.2,36242,21239.9,21708.5,31677.3,55167,79054.5,44655.1,17402,21613,26912.5,68447.9,50688,30629.1,21457.8,110760,45494,71457.1,85639.2,146165,49262.1,105001,100105,68904.9,139264,24459.2,88004.5,134130,340137,216672,126872,139064
144824,46721.8,70460.7,122614,131004,26362,330495,261466,62324.7,602726,35520.7,329192,218085,76814,158076,54388.8,471968,313075,78440.5,34388.5,103385,81186.1,126412,44718.8,161463,35386.9,59434.9,179052,68760.7,35225.9,79992.7,47022.4,79255.8,146947,123927,236383,71521.9,47780.4,18840.2,47517.9,90158.7,28220.4,53806.1,191631,38282.2,73803.5,65533.1,62139.6,78392.1,42684.4,62452.8,22957.4,45790.6,34886.2,22948.1,66629.4,30660.7,71024.8,31476.4,22105.4,17318.8,16849.4,83744.8,23190.6,25713.1,27432.6,124090,61230.8,27992.7,102989,132097,69967.9,119990,227239,32301.1,57623.6,27058.1,80932.8,107245,156483,105883,99078.6,93512.7
75161.8,57169.4,67545.5,80412.6,32880.1,66607.6,131418,405686,59606.1,497732,36737.4,291847,240447,76162.6,112301,208465,132239,296410,73331.4,32744.4,57065.6,162301,172124,59085.8,175517,49766.5,30560.3,160461,81438.7,52042.8,175432,49375.2,100616,242138,77616.8,282574,19133.6,33544.6,45070.5,30521.5,51814.7,54154.8,66981.1,194359,20275.9,57869,45856.9,119781,50849.2,46327.9,131818,27352.8,73666.4,40353,29997.2,57482.9,64323.2,84458.4,59893.4,7080.85,43482.1,21402.7,51944.4,22080.6,38910.6,33557.1,61652.9,41394.9,33909.6,100419,200485,73622.5,120274,123234,27119,52904.5,52201.9,135211,88759.3,151595,184476,64014,58976.4
59968.8,154489,70191.2,66663.5,14471.3,48551,148208,178567,67981.9,128806,51481.4,324747,426712,141607,229858,265946,276351,105627,89985.1,45446.2,58798.5,231808,65898.3,49961,257859,35356.9,15889.7,108597,56589.4,64559.4,314203,75660,55611.4,113100,77137,503388,28206.6,30541.9,39118.9,24044,79475,46496.3,256013,96015.2,31340.4,23828.7,83699.9,89095.1,54927.7,77109.2,76092.6,19160.3,53755,44276,36704.5,60266.1,86215.2,77395.3,57301.9,9599.17,102206,23552.7,40610.3,37988.9,61504.3,20449.7,75101.3,45187.8,42965.1,154419,350775,112635,126965,113823,29041.1,52903,25688.4,76989.8,48826.6,72151.5,291386,23357.8,44643.5
60746.9,62244.9,31652.5,38302.8,11998.1,181378,295764,62345.9,43157.1,66304.1,40990.8,326454,431769,142039,150912,431759,113998,65949.8,65991.2,83333.8,97328.4,185666,95584.5,58122.5,362909,20627.9,38577.4,238100,61967.1,84431,144165,81699.6,36254.9,186197,114834,602292,19192.4,92265,26897.5,53739.9,42798.9,37435.7,291937,103323,93225.8,36526.2,95955.6,56410,38434.5,46898.2,42168.2,31665.6,92683.3,54636.1,27279,57653,87414.6,68606.3,29015.7,12993.4,134253,48847.5,50901.2,36703.2,29421.7,40793.3,40603.2,122072,66880.7,274752,233224,166351,180948,141072,29973.2,66485.1,30456.6,70582.6,36999.1,116230,200043,53462.8,58659.3
