rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
164568,117931,67111.8,52217.9,176962,118564,33003.9,65754,193328,24033.1,360914,21521.6,24599,92130.9,283955,804026,148011,44955.3,13842.4,15687.4,28273.1,58712.2,448771,57269.3,97063.6,79339.3,413742,325591,51305.8,146644,45746.7,69612.8,49753.2,90566.7,76008.3,43677,14949.5,23100.3,209700,70831.5,15403,71749.6,123837,25478.3,46137.5,22997.3,128847,13811.4,13253.6,108995,51905.4,6933.51,32196.1,7103.15,23595.7,25995.8,15943.6,28241.8,27343.5,30275.3,44722,20948.5,3061.24,107316,58667.9,30469.9,21067.7,17298.2,94599.5,33681.1,6501.53,76709.4,82411.4,38778.7
95884.4,136041,163373,32795.5,156124,85076.6,69121.9,31758.2,117719,40875.5,290087,7496.59,26052.6,89177.3,125196,1.29473e+006,62444.3,44755.6,72074.2,23089.3,25660.8,229088,561980,39303.8,34239.9,116722,637864,183544,38529.7,139622,184695,45649.1,28360,67048.3,42702.5,93699.2,30661.4,35989.8,99051.9,57890.7,19887.3,34043,66174.9,57943.6,32059.3,30215.7,94175.5,20939.4,9838.72,85064.5,109723,2650.82,36575.9,14230.9,33192.8,7907.02,29076.1,31888.5,25397,46260.3,10979.4,24688.8,4692.44,54113.8,35657.7,12234.3,28023.4,18294.7,59757.7,56403.5,13760.8,66234.4,20928.6,17703.7
220622,88171.9,131255,71278.9,181145,88327.3,120630,48560.6,34785.9,23855.1,182508,40367.6,45140.5,97974.9,48965.2,606598,48521,37658.5,73581.7,33727.1,32774.1,130351,286589,21102,56214.4,159352,203542,249527,132816,42583.2,86331.8,81924,47237,60267.7,65124.3,271570,21009.5,30950.7,107789,79811.1,8495.9,40837.9,78056.9,165097,31727.1,62349.5,63655.8,14641.6,8934.99,98511.3,155238,2586.85,25655.9,13808,52620.5,10237.2,12526.9,27008.4,51801.9,72595.7,13376.5,22248.3,15183.2,51295.6,24876.2,26755.6,17749.8,40900.2,50784.6,30120.6,19786.3,69399.4,31384.2,24161.8
295443,134981,56556.3,44210.6,125065,138860,133826,28675.5,26020.6,34121.7,132836,37277.8,85619.4,93623.5,26434,364284,73612.1,50236.8,80798.3,16270.1,26408.3,105469,626674,33813.9,61304.7,36068.4,136817,169734,86442.2,173954,90828.8,80587.7,114309,48479.3,72407.1,300032,31553.7,42169,80981.9,97974,13709.1,31750.3,101940,103928,26898.7,101822,79225.6,24261.6,10394.6,101860,76368.5,6637.03,27347.8,11564.7,37144.7,11396.3,13838.5,19002.6,50867,85343.6,16879.9,20777.2,26408.6,40916.3,20878,26018.3,24975,55506.5,46301.4,64074.8,38085.3,75426.8,71517.1,18523.2
313592,125376,117009,28620.1,138832,85592.1,307174,67316.9,19573.8,68068.9,146273,84511.6,92759.4,79128.9,74842.2,290013,58302.5,14121.4,84190,20434.2,17245.2,143975,595843,262199,52750.8,25235.6,209608,54804.3,125463,61417.6,130806,98663.6,63099.7,27527.6,115858,273227,59609.6,19432.3,92444.2,76657.4,21134.1,13114.1,64981.8,110738,45229.6,72027,72510.2,14759.2,15567.9,154992,92239.5,9075.4,24969.1,15948.4,51061.9,18805.8,15357,25152.5,58961.1,57396.4,29778.1,31520.6,25391.9,65893.5,24420.4,14522,50336.7,72660.1,43826.2,81048.7,30198.4,101524,61405,23162.2
394709,88729.3,36758.4,61603.8,148952,36768.7,159759,46935.1,7533.58,43085.7,119947,50951.1,49779.2,111056,34474.4,635291,57154.8,5125.09,64624.3,8159.77,95796.8,126783,747832,268762,63561.3,18306.6,73870,86736.2,118687,101499,167135,63806.9,46921.2,64361,143138,229343,24477.1,28309,44707.2,92568.8,55483.1,8889.47,159389,33044.6,41206.4,53746.7,50010.5,11377.7,20430.3,187186,67253.2,12343.5,43398,20006.6,56456.3,17796.4,16798,17824.3,35881.2,93575.6,13160,31468.3,14902.6,41804.1,20959.6,8700.34,57907.1,43032.3,45184.2,74133.2,27469.8,62268.3,53572,19423.2
292105,49267.8,17256.7,43671.6,172873,20127.9,340819,36756.4,6395.48,24736.6,105232,46504.9,22263.7,122025,34643.6,971528,29867.8,9637.76,61471.8,30168.1,149914,66163.5,534418,150930,133789,18642.5,51899.4,34730.8,197540,147121,62099.8,128583,41851.8,84118.1,310515,119088,11165.8,51491.2,68815.8,77415.8,48285.2,6817.83,129564,34827.9,43444.2,46567.7,70679.6,16117.7,20120.7,148110,89780.2,9953.18,47452.6,23654.9,105280,16830.7,49051.8,30126,62113.1,36063.3,51023.8,71691.2,25731.5,97387,25718.2,6693.12,113115,36446.5,47405.7,201914,51817,127887,49503.3,58271.1
80677.1,69535.5,9314.31,114243,275831,7764.91,130753,75105.7,13793.8,46339.9,91633.9,51136,47085.2,58591,73441.7,741486,33061,11543.7,63149.5,29519.2,91032.6,154649,394002,121198,144200,22056.6,49442.9,9894.04,325960,161030,62630.7,101863,54733.1,96730.9,99708.9,253511,37668.5,22796.2,36797.3,95619.3,35027.7,14869.5,213565,39204,29144.5,149396,18092.4,22748.7,21366.7,161742,67906.9,21285.8,58987.5,17343,64003.9,10972.4,64408.8,21683,41126.5,55277.4,48361.8,41815.5,42745,46556.7,22600.5,15363.8,24247.4,24940,36106,197405,51260.6,121425,22673.1,56502.3
85293.7,69033.2,41364.1,57610.4,528769,6061.91,117259,67814,22562.5,31190.8,101251,96357.7,66961.6,45865.8,115612,457743,40288.4,24776.5,19361.5,16976.1,249295,113588,899298,174134,78843.3,25410.6,24896.7,17833.1,80278.6,141615,87115.7,245144,98363.2,116959,105619,96026.4,24693.5,32955.3,57778.9,139054,37763.5,8130.29,321706,23482.4,44025.7,88087.4,30485.9,23063.1,14419.5,147428,41764.4,32122.5,57829.1,18596.5,54825.5,7615.01,121903,42743.3,18623.1,19038.8,28857.5,23211.9,77433.3,67731.8,16786.1,14052.2,19120.6,21863.2,19446.4,158036,77470.7,77418.2,19787.5,29675.1
29110.5,107377,56562.2,51034,946693,7373.29,141707,128430,14714.3,40168,85109.6,44048.5,33860.7,37796.6,278230,846946,76701.8,30607.1,18065.8,21980.4,159749,77766.7,762442,54050.4,42976.3,33270.9,44264.2,10767.5,42969.6,223841,44328.5,72069.3,65486,126268,159203,376388,11331.3,25551.6,77159.1,52089.6,81956.4,16187.8,95885.2,50989.3,61739.9,67164.5,49967,16926.8,30354.3,181746,21205.9,24592.6,29903.8,58636.1,151987,20974,39482.1,46754,16451.2,28933.6,43628.6,52834,62663.8,55433.6,16243.8,29306.6,15388.2,27840.9,42176.5,207894,85703.8,124351,53158.7,34481.8
