sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
17923.8,17068.3,16590.8,14790.4,13081.3,12091.1,10948.8,9963.92,8518.1,7994.26,8039.87,7739.84,6958.92,6811.75,6761.28,6696.77,6485.78,4574.61,2911.13,3504.04,6047.12,8790.59,8807.86,7707.4,6453.6,5137.14,3679.66,4006.03,3611.78,2704.32,2417.38,3079.84,4379.13,4358.25,3897.05,3766.02,3396.92,2797.05,2411.7,2229.37,2074.63,2141.51,1884.93,2198.37,2579.4,2405.11,2376.07,2494.82,2442.68,2215.3,1715.82,1491.77,1469.34,1293.2,1387.52,1456.34,1235.84,971.664,752.263,719.021,776.816,770.177,830.491,1002.33,1195.12,1464.59,1801.82,2017.33,2416.85,2979.64,3303.86,3514.76,3592.88,3804.49,4139.39,4233.6
13540.2,12227,11532.3,9820.01,8466.33,8089.56,7616.37,7507.07,6848.25,6616.3,6474.46,6020.6,5361.62,4891.36,4534.46,4535.08,3963.87,2495.86,2819.41,3698.38,6626.73,9027.25,7540.87,5696.89,4225.22,3658.99,3761.34,5139.72,4649.26,3291.69,3221.75,4291.18,5269.33,4589.45,3662.17,3621.1,3476.48,2358.99,1725.81,1442.14,1402.29,1540.67,1448.6,1594,1905.84,1935.56,1859.88,1815.63,1743.34,1579,1159.45,1023.18,1024.8,950.585,1036.34,1168.62,983.508,771.584,612.034,593.437,654.405,678.533,784.454,937.424,1151.47,1350.78,1503.41,1627.24,1799.09,2069.35,2223.58,2359.38,2508.46,2710.76,3052.3,3246.1
18201.1,16960.2,16402.3,14709.8,13436.4,13059.6,12227.4,11384.8,9949.42,9264.68,9003.31,8517.73,8028.43,6899.81,5608.08,5060.1,4567.22,3121.84,2654.45,2634.77,3926.34,5022.75,4233.65,3662.38,3480.25,3193.58,2889.02,3373.29,3269.15,2777.64,2941.42,3408.77,4137.57,4386.38,3869.83,3062.76,2672.85,1955.26,1723.87,1880.39,2459.7,2765.28,2356.19,2339.41,2542.96,2324.22,2207.84,2190.98,2346.63,2334.61,1800.15,1325.56,1230.54,1256.11,1401.68,1569.2,1286.06,1038.36,890.845,883.05,953.027,942.546,1030.53,1240.85,1593.94,1892.2,2051.16,2176.58,2342.72,2534.87,2665.51,2766.61,2867.88,3060.82,3264.83,3354.83
19595,18093.6,17530.3,16172.6,14896.5,14585.3,14023.9,13033.7,11643.8,10808.1,10424.2,10013.4,9129.91,7820.24,6715.53,5757.24,4891.12,3576.35,2458.09,1923.36,2614.21,3270.35,2842.21,2590.06,2494.45,2666.17,2865.71,4421.32,5139.26,3675.7,2635.32,2144.38,2356.35,2495.25,2441.11,2336.99,2117.26,1790.29,1646.01,1712.61,2340.88,2602.94,2284.97,2317.28,2400.39,2106.49,1959.96,1928.78,2100.33,2157.69,1974.61,1547.21,1348.91,1351.47,1366.34,1305.1,1011.12,808.28,692.959,673.231,713.451,745.558,865.635,1096.7,1513.24,1896.69,2091.37,2253.33,2426.59,2581.2,2709.1,2843.98,3063.03,3356.42,3709.41,4048.86
15442.2,13989.2,13375.9,12745.2,12363,12539.2,12416.1,11703.7,10803.3,10571.9,10122.9,10045,9883.68,8419.68,7188.49,6252.41,5552.08,4549.59,3453.26,2004.11,2187.14,2800.35,2211.93,1965.27,1888.22,1961.63,2585.41,4226.15,5794.85,5421.01,4239.91,3723.49,3532.08,3341.89,2617.89,1876.8,1711.41,1765.37,1660.93,1542.3,2056.84,2618.19,2190.53,2007.27,2033.89,1817.85,1708.42,1680.04,1870.06,1786.16,1567.11,1261.21,1151.72,1278.96,1535.19,1527.31,1158.71,952.311,828.885,817.632,909.573,995.958,1151.2,1434.08,1830.88,2182.16,2461,2666.6,2902.54,3165.61,3297.75,3467.21,3817.07,4152.95,4540.57,4878
12845,11524.5,11166.4,10829.9,10522.7,10663.6,10585.4,9685.18,8669.87,8598.96,7954.31,7262.22,6630.38,5487.47,4598.68,3749.6,2949.58,2142.63,2074.73,1892,3008.7,3809.02,2693.27,2150.73,1640.85,2147.39,2926,4865.53,6797.1,6188.5,4778.97,3683.51,3112.84,2975.43,2457.47,1641.44,1246.84,1373.78,1475.95,1621.68,2170.38,2181.2,1648.1,1462.26,1238.57,1208.49,1311.64,1704.38,2042.25,1760.08,1439.58,1094.69,994.969,1052.96,1355.04,1298.22,849.016,673.798,644.51,694.096,772.622,819.511,950.773,1152.02,1554.21,1940.06,2136.49,2286.12,2416.85,2583.49,2654.21,2825.09,3134.05,3386.22,3733.79,4038.46
11511.9,9983.33,9737.27,9370.1,9057.34,9202.09,8858.99,7861.54,7051.92,7284.69,6780.92,6654.24,6760.49,5870.39,4999.6,3913.63,2819.88,1742.28,2129.68,2589.51,4284.61,5165.99,3764.8,2650.62,1852.28,1775.89,2007.3,3449.64,4854.28,4522.51,3557.98,2864.47,2539.69,2548.37,2333.55,1785.48,1765.71,2213.99,2075.46,2468.05,3121.56,2590.78,2041.53,1987.14,1875.93,1843.32,1840.18,2034.4,2209.69,2103.3,1917.09,1656.81,1559,1559.31,1782.5,1851.22,1240.22,939.661,935.699,1154.14,1354.87,1447.31,1658.92,1970.48,2349.36,2706.53,3188.18,3548.97,3904.54,4320.07,4398.17,4691.6,5234.13,5520.56,6264.09,7067.7
13537.5,11895.2,11254.8,10620.7,10185.2,9561.76,8460.44,7385.22,6777.67,7449.35,7257.64,6485.82,6249.93,5669.14,4834.66,3447.34,2181.62,1449.5,1762.57,2109.75,3578.36,4877.13,4088.51,3052.59,2395.75,1985.83,1885.71,2860.87,3983.64,4238.64,3947.67,3704.8,3613.26,3321.21,3111.36,2838.69,2687.88,2977.49,2849.72,2477.68,2977.68,3105.18,2575.42,2369.33,2219.58,2137.45,1997.93,2364.71,2857.33,2667.42,2569.04,2046.87,1683.09,1669.15,1920.32,1991.03,1402.1,1105.22,1090.91,1230.05,1348.62,1449.33,1651.74,1866.38,2192.91,2565.28,2882.33,3135.47,3352.38,3467.99,3448.06,3464.61,3651.49,3858.02,4589.37,5432.18
15362.6,13856.6,13074.7,11813.3,11009.2,10453.3,9576.69,8796.87,8057.97,9298.32,10444.7,9939.65,9342.81,8261.05,7192.99,5612.73,4423.36,2870.12,2254.02,2125.06,2841.16,3594.92,3343.95,2862.4,2674.02,2845.81,3362.91,5977.2,8226.28,7911.9,6784.21,5632.79,4988.73,3969.96,3520.69,3321.54,3551.43,4238.67,4505.07,4126.41,3977.54,3501.2,2764.65,2531.56,2748.05,3038.67,3000.6,3669.11,4348.91,4091.41,3662.75,2810.58,2256.21,2057.4,2193.86,2098.94,1474.78,1228.29,1250.36,1450.38,1599.09,1825.38,2182.32,2342.87,2449.78,2605.96,2770.4,3023.97,3394.53,3570.85,3529.33,3488.01,3583.1,3669.22,4137.23,4842.72
15670,13696.4,12473.4,11491.9,10906.6,10302.2,9680.18,9814.18,9412.31,11833.4,14578.5,14343.8,13702.8,12591.9,11292.1,8971.81,6577.07,4793.54,4212.83,4134.77,5834.92,7691.19,7143.91,5940.96,5187.95,3670.47,3094.87,5083.07,7113.26,6693.94,5681.78,4866.23,4474.88,3678.55,3541.61,3425.86,2863.5,3078.48,3715.34,3926.71,4935.51,5217.91,4454.26,4293.23,4159.77,3953.4,3688.8,3649.24,3795.79,3729.17,3281.41,2804.94,2648.27,2543.86,2823.41,2720.14,2042.19,1816.19,1862.76,2233.19,2592.64,2574.4,2599.35,2686.8,2791.85,2982.49,3244.32,3537.01,3813.4,3913.45,3875.22,3878.71,4040.96,4280.24,5069.28,6075.13
