ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
91749.7,0.903633,0.199888,0.199888,64022.5,3.59532,0.26,0.735, 10731.5, 3252.91, 808.199, 0.47762,0.119561,5.3353e-005,9333.22,396.779
113095,0.945116,0.199888,0.199888,54587.7,10173.2,0.26,0.735, 13228.1, 3851.28, 1025.86, 0.529182,0.159711,7.66783e-005,5408.31,405.982
113853,0.926504,0.199888,0.199888,51700.4,149.041,0.26,0.735, 13316.7, 3949.39, 1019.4, 0.50506,0.170204,0.000102307,4574.22,385.14
125943,0.815605,0.199888,0.199888,57976.5,28.2425,0.26,0.735, 14730.8, 4825.52, 1036.95, 0.388722,0.126825,7.69118e-005,6464.81,381.575
119448,0.926683,0.199888,0.199888,68186.2,2.6586e+006,0.26,0.735, 13971.2, 4142.78, 1069.64, 0.505283,0.106423,5.66684e-005,8247.42,371.323
149986,0.76464,0.199888,0.199888,63575.5,12.0052,0.26,0.735, 17543.1, 5993.39, 1182.34, 0.345818,0.091595,6.91117e-005,7244.94,371.558
164707,0.775868,0.199888,0.199888,64108.2,1.10794,0.26,0.735, 19264.8, 6521.71, 1311.33, 0.354857,0.0960399,7.82183e-005,5983.92,373.984
150703,0.808214,0.199888,0.199888,66230,484332,0.26,0.735, 17626.9, 5810.05, 1233.3, 0.382183,0.0936825,6.36484e-005,7446.61,366.659
193442,0.708179,0.199888,0.199888,67652.1,96.8339,0.26,0.735, 22625.9, 8088.81, 1445.8, 0.303272,0.0962437,5.89306e-005,8718.76,373.266
183840,0.824273,0.199888,0.199888,63724.3,335.19,0.26,0.735, 21502.8, 6992.61, 1524.35, 0.396543,0.116079,6.97012e-005,6628.27,380.597
204593,0.774427,0.199888,0.199888,73494.8,223304,0.26,0.735, 23930.1, 8110.57, 1626.83, 0.353685,0.0612456,4.80446e-005,10517.5,384.913
161771,0.610321,0.199888,0.199888,65771.6,22.0682,0.26,0.735, 18921.5, 7317.61, 1083.39, 0.238252,0.0593252,4.90022e-005,8687.08,382.676
145895,0.650805,0.199888,0.199888,68156.2,736.742,0.26,0.735, 17064.6, 6386.89, 1025.74, 0.264054,0.0502547,4.43922e-005,10186.9,394.223
159519,0.685353,0.199888,0.199888,65395.8,179.024,0.26,0.735, 18658.1, 6792.97, 1164.71, 0.287248,0.0630156,5.23851e-005,9687.38,385.367
142103,0.773075,0.199888,0.199888,57349.5,19600.1,0.26,0.735, 16621.1, 5639.56, 1128.6, 0.352589,0.0822186,6.94246e-005,8254.75,383.39
127973,0.842737,0.199888,0.199888,55773.6,801078,0.26,0.735, 14968.3, 4791.49, 1076.81, 0.413797,0.122848,7.65669e-005,7567.09,386.373
161124,0.693158,0.199888,0.199888,55776.1,6.23083,0.26,0.735, 18845.7, 6818.67, 1186.02, 0.29266,0.100908,8.79716e-005,5447.15,392.398
136803,0.898522,0.199888,0.199888,58509.4,1824.21,0.26,0.735, 16001.1, 4873.37, 1200.6, 0.471783,0.161089,7.17744e-005,6808.18,387.143
161134,0.832544,0.199888,0.199888,58616.1,11.9619,0.26,0.735, 18846.9, 6086.02, 1344.96, 0.404169,0.147929,7.49399e-005,5264.47,387.194
156244,0.876138,0.199888,0.199888,61375.7,22.4483,0.26,0.735, 18275, 5680.76, 1348.76, 0.447334,0.123293,6.52904e-005,7785.21,388.117
188713,0.861178,0.199888,0.199888,64219.6,5.05291,0.26,0.735, 22072.7, 6953.1, 1610.72, 0.431913,0.127169,6.7134e-005,8542.29,385.764
175362,0.760822,0.199888,0.199888,63074,196.314,0.26,0.735, 20511.2, 7029.14, 1377.66, 0.342792,0.115246,6.48037e-005,7692.63,390.225
170091,0.698829,0.199888,0.199888,58194.9,28617.7,0.26,0.735, 19894.5, 7165.64, 1259.33, 0.296636,0.102048,6.63375e-005,8010,389.934
119428,0.812297,0.199888,0.199888,48455.7,155.991,0.26,0.735, 13968.8, 4588.63, 980.652, 0.38578,0.123566,0.000101697,4646.3,393.611
115799,0.73771,0.199888,0.199888,57415.7,2258.27,0.26,0.735, 13544.3, 4728.98, 890.602, 0.32496,0.0952852,8.0234e-005,5527.56,388.547
175126,0.76131,0.199888,0.199888,58931,291011,0.26,0.735, 20483.6, 7016.91, 1376.41, 0.343178,0.0943461,8.42293e-005,4927.91,383.809
197893,0.630176,0.199888,0.199888,61866.4,9098.93,0.26,0.735, 23146.4, 8808.34, 1358.15, 0.250738,0.0728553,7.25364e-005,5866.91,389.827
