rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
38558.6,372953,284105,236251,75377.8,13568.5,182534,40143.1,132501,128172,17868.5,239355,42149.4,192842,15105.6,117763,685203,69813.4,75841.5,47350.5,25580.9,25915.9,59867.6,312679,190851,27443.5,32350.7,63681.8,317450,225361,65901.3,91535.5,60614.9,15905.3,81875.4,74477.4,127417,110620,45285.1,78795.6,53526.2,67382.7,32361.2,25131,46648.5,51347,56944.4,24717.8,45687.4,23314.7,54626.1,37498,26212.8,29356.7,43731.7,8891.97,31097.8,79819.5,8412.96,3024.89,24673,21948.6,16100.1,15341.2,16574.4,19200.7,67822.5,14310.8,15029.8,140998,84208,15082.5,58925,96356.1,50613.8,25126.8,39948,281935,20856.2,78619.8,14680.7,36849,265108
125009,161007,477738,301993,90216.8,19951.1,254052,44061.3,115643,90827.3,48778,248173,72881.8,256730,9476.59,126636,385183,70231.6,129824,26197.2,41705.4,80068.6,36694.3,161454,639177,53282.7,43068.6,83361.2,149461,238972,50825.2,120996,34137,15485.7,79768.6,121494,61654.3,129793,40564.3,95981.6,56150.8,66482.4,46998.8,93623.5,48711.9,41072.3,12497.9,28823.4,145133,11841.6,60363.4,42408.1,20208.2,28852.1,37202.1,7916.28,49655.8,61401.2,9482.51,10934.3,24538.6,12529.4,22230.4,23338.5,31474.5,42406.5,64496.1,15119.6,19829.1,118021,111878,40888.7,86384,74769.9,22991.5,45035.6,38357,138205,21373.9,92486.6,28071.3,81526.8,582544
88469.5,110040,164158,167393,110506,88308.7,278672,131404,112594,110355,47825.9,244356,48416.5,170068,28635.4,84583.2,634734,23936.4,129922,11284.8,68952.4,158043,21351.3,150490,502073,194401,66053.8,115791,53842.7,122469,12796.5,132656,45560.7,85074.7,92670.6,136767,16370.7,117884,24998.9,77199.9,181859,29829.4,123426,143381,14552.1,44505.1,7806.25,13897.9,98687.1,17079.5,93204.8,49279.1,12904.5,13959.3,42614.3,11915.8,50568.9,60543.7,8293.68,10257.9,20311.5,21925.2,12843.4,20576.7,28898.4,35736.5,44840.8,7963.38,14495.9,92864.1,134212,39422.6,75304,137668,25044.5,68029.8,34994.7,52576.6,17294.4,274410,27363.7,58003,273776
83720.6,143224,181928,44340.9,63895.3,95924.6,403250,63834.5,136581,32167.3,98452.1,240977,77277.6,89135.1,56152.5,29383.6,218171,59569.2,292260,8410.84,138401,137860,22555.1,121221,486910,158455,43489.3,62569,34588.9,115106,50754.2,126517,38668.6,82206.3,87986.1,72069.2,63913.2,62915.8,44166.4,52547.9,86498,26228.4,134571,97012.2,15448,132426,11749.2,9836.84,153636,7443.7,76679.1,38138.5,31128.6,12437.8,46204.8,11421.8,17240.3,28525.3,9745.91,12536.1,30170.7,17324.6,10896.8,12386.8,26495.4,67037.8,32732,16310.7,6397.91,45995.1,88346,68302.6,41839,131052,19552.4,109229,222586,38062.5,22525.9,169435,30308.1,75388.8,192596
45288.2,62923,242341,38334.1,58835.7,106896,670527,46510,202935,47083.8,224470,347952,70009.5,55692.6,104610,17103.3,79165.9,75347.6,110837,14517.6,270900,214753,50579.4,187410,278823,66312,17706,39548,59023.7,86930,29115.6,145141,80847.7,61935.1,52377.3,131220,64791.9,78677.9,25511.2,29349.3,53924.6,74145,119700,60111.6,8069.48,42570.7,12905.6,22923.3,185560,12910.9,30270.5,23011.5,49799,16891,18300.2,17461.1,20660.7,37486.8,18452.8,29515.5,13915.8,14941.6,22023.1,26344.8,46356.2,80558.3,17967.1,30917.3,6861.97,56706.6,79841.5,45545.3,14225.6,228732,13566.8,67905.9,206082,68447,45184.7,97584.2,6782.41,72142,171373
58641.4,66724,157725,29762.6,69249.4,41658.1,216783,50349.1,284723,45933.9,400934,148793,102013,86265.4,278273,33040.2,32179.8,69281.5,144859,25620.4,374459,557419,35625,201870,314490,45091.4,21451.1,136462,38586.7,94389.7,58424.6,198338,38375.1,45195.3,25534.2,64226.5,129046,55520.3,61348.4,22601.6,27143.1,36677.8,92780.1,41428.3,30584.9,68654,9940.1,44372.1,123082,12761.6,19693.5,56473,23395.1,37835.4,20699.9,30317,13477.8,24307.4,14411.5,27837.8,22274,22213.2,17218.1,18017.2,32475.2,40348.8,19847.8,27817.4,6537.2,73543.2,183767,77567.4,13604.2,127331,18700.5,92205,265675,25587.1,55932.9,249946,4554.05,60614.3,242733
46078.4,41860.3,137564,33555.7,89255.4,130518,273371,29519,199809,77851.3,148104,123993,290529,129887,387207,61409.8,48149,77773.4,133748,43381,286376,297553,22122.5,448720,166783,44326.4,85638.2,81740.4,28977.7,46242.9,98705.7,118919,71764.3,42962.9,44390.2,83732,169290,50141.5,90436,48589.8,68250.1,43119.5,91994.6,32734.2,33512.5,63903.7,22646.4,52230.8,87605.3,18684.4,49613.6,57511.9,9034.69,61584.2,20625.6,27795.2,17236,29817.9,6216.34,40900.3,10412.3,39501.9,15508.2,55003.8,48654.7,30561.6,28674.1,34743.9,11435,49678.6,340733,84028.7,23255.9,145267,8026.5,113833,112133,9233.76,70481.9,345018,10037.5,87362.4,253655
29988.1,85024.7,673442,50606,143595,67140.8,261939,19064.4,273978,208165,113616,112894,626660,125652,122603,43064,50813.3,70021.2,67900.6,92674.3,227042,94022.2,49446.3,135217,283394,14203.4,41211.6,197155,10389.7,235222,78532.1,55496.4,91741.9,19663.1,107300,89700.9,80986.7,86823.4,109005,54267.1,49933.4,55236.2,79522.3,22675.4,27527.4,71226.9,12400,52297.4,156244,17267.7,38811.5,32858.1,10107.5,87854.6,30766.6,11774.3,26326.8,36240.2,12472.2,81288,7809.7,56027.6,15976.8,42616.6,38081,40600.2,20677.4,144799,16666.5,24590.5,140365,130266,38069.8,154887,3630.8,114410,82806.3,36497.1,30928.1,143049,18005.6,40764.3,375004
21097.9,65943.7,217800,95979.9,155707,123411,186493,11710.3,618902,111729,79532,227244,336649,510898,108902,18393.1,110227,38221.5,37101.9,77952.4,755895,27750.3,144269,71377.1,360031,17137.1,24583,68642.4,17436.3,258852,89486.2,143433,60818.2,25814.6,177548,60602.9,144393,44438.4,44612.7,80573.5,102242,52465.6,47513.6,14955.2,37925.3,95799.4,14650.3,21376.1,59973.3,24091.1,36424.1,36742.1,5333.24,70495.7,46647.2,21558.9,26672.9,13976.9,12073.5,33187.4,5390.86,36836.3,14797.1,20725.6,9601.74,38520.6,35020.1,72047.4,47459.4,13813.9,96596.3,92142.9,34133.5,141995,4625.42,80402.2,27098.2,41874.6,32725.2,216302,22080.6,46257.5,210969
27048.7,37190.7,423316,147190,67046.6,98769.2,185934,12744.1,492823,178906,241455,216699,293639,197658,44425,15073.1,46097.7,45282.4,33152.6,231900,399404,53318.6,215989,148927,100648,44157.8,14298.2,144308,37510.6,145990,228785,78045.1,56881.5,48116.4,77012.4,46124.7,159902,83728.1,22626,50231.9,140505,33639.1,42687.3,27048.4,14449.3,110376,16414.3,30120.4,54674.1,17121.7,35040.8,37515.4,18113.2,32216.2,37108.7,35816.5,30663.2,36483,13061.8,48636.3,4955.63,22220.1,13325.4,19873.1,13307.5,28875.4,22719.5,53264.2,158556,11969.5,104373,96021.3,11936.3,260888,15261.4,53611.5,33216.9,88037,20247.2,239342,20940.6,58977.2,87176
