rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
184672,401742,319716,615050,49072,140293,538333,165977,223645,227988,66975.8,487989,86752.5,426063,78779.7,56157.6,830893,98086.7,56085.3,19147,28414.9,20750,475174,202382,103159,41590.9,73093.4,63768.3,283687,88902.9,43696.2,131951,49625.8,25878.2,147582,101697,81124.6,155380,28143.5,158422,29721.4,72439.4,38326.4,13827.2,41459.5,27294.6,88478.9,27135.1,106715,27167.4,21682.6,35810.6,37569.6,17373.8,59041.1,21534,28369.3,72719.4,6103.27,7431.26,18956.8,26751.6,12678,7520.55,24728.7,20959.3,42687.7,75749,18989.7,76950.6,69168.6,43895.9,92966.9,55375.7,128270,20995.2,28771.3,205663,19215.3,172622,43854.7,179780,161381
293575,199666,443542,845456,112804,83351,446919,267180,187793,169635,101816,777249,107705,273180,37812.6,219784,413119,89692.1,68643.1,9472.89,34205.9,77814,410947,85706.6,139097,117989,111790,95164.2,68719.3,105005,11704.1,135543,64728.3,48515.8,143230,107546,50400.2,115251,28348.1,143020,58182,44368.5,49425.1,39244.4,20915.8,17975.5,35753.1,73522.7,230857,15816.6,17478.1,11123.5,36166.3,17996.9,43767.7,13129.4,27238.9,43031,18963.3,35143.1,19179.3,20892.3,17207.3,6585.66,41861.5,56138.3,58230.6,59831.4,15981.4,91947.8,96838.1,156358,187704,36261.1,33117.9,33863,51077.5,80431.4,32132.6,171337,30482.5,327669,301461
237805,218599,270893,511781,138996,133422,585145,352273,296390,177725,69672.3,777391,57389.6,269561,101597,133288,606295,31219.9,166302,5729.81,47603.9,72713.9,359276,62214.2,101383,108957,508430,202209,81558.2,62572.6,5349.59,92145,70498.3,124021,110250,159190,23865.1,49103.7,17032.5,110263,128662,57294.8,80998.7,51921.8,15231.3,12576.9,27997.8,68196.4,181560,15207,16501.8,16690.7,19618.7,8570.82,80751.1,10376.5,49444.5,24296.5,18198.8,18249.5,13504.4,27559,10634.3,5588.71,22114.1,28061.4,54111,30419.6,20170.1,79000.7,57881.3,75591.9,68854.5,47671.2,25573.8,40645.8,97155.2,26849,35604.7,163200,26212.6,120937,125496
168398,230855,571056,315762,173600,150928,933194,177105,145773,173674,116595,577709,127212,180687,87518.9,133288,379948,25655.7,207319,10355.7,90198.1,149262,310994,40179.8,203171,119614,220961,121800,42023.5,62817.1,14931.7,123290,105731,46135.7,101563,141680,80005.9,24386.9,16062.2,93959.9,138605,36646.5,143117,50548.4,19200.5,40936.9,17220.8,46089.6,155985,13764.3,26075.7,19258.6,29616.2,8330.31,63595.5,14204.1,26400,20800.1,22115.6,20160.6,34263.8,35451.9,10119.2,4663.26,30943.8,46709.8,50395.6,19026.9,16180.7,66435.5,55936.6,50712.5,40296.7,104587,37147.2,60637.9,281543,29138.9,37137.4,136803,37912.7,165699,133180
107954,113102,362437,242799,284239,47498,1.33251e+006,175230,121203,135106,346582,295946,105761,81278,344514,73083,305069,29589.9,100935,12969.5,112412,92856.9,465231,95372.2,127744,127710,108109,71184.4,94015.6,48854.4,21128.8,128228,128246,20781.5,79728.8,204623,77002.7,94914.9,21862.7,30705.9,81475.6,33450.3,222816,72911.4,16688.5,46369.5,32020.1,46398.8,167194,14580.6,18971.4,16145.4,38638.7,20406.3,24455.3,35848,25700.1,16924.4,44147.7,37494.8,20088.2,35695.3,22148.1,5953.87,49419.7,90695.8,37283.1,57869.7,20277,47449.2,54100.8,37245.3,27644.4,230543,31406.8,92530.5,296801,31064.4,103314,169855,38570.3,110896,143534
123979,175990,182334,116993,491052,34199.9,258309,319157,201539,140871,278720,344079,180467,107374,692373,51340.4,182690,34957,204061,12325.7,140705,368152,137655,152321,144049,100438,112638,273738,44936.9,33685.4,74550.7,146151,65135.4,27183.8,40459.8,176625,170226,68996.1,67562.5,40535.5,27776.2,14184.1,140487,41219,57466.1,118447,23632.4,145595,157369,12216.4,10820.2,48575.3,38404.8,42395.8,13706.2,42639.2,27457.3,15725.9,28265.2,55927,58364.4,42471,24508.6,7639.72,40836.2,54322.8,44431.6,97327,28738.3,67057.2,174470,95421.1,33520.6,240126,59991.2,68848.8,206114,37446.3,124100,424488,24182.7,222752,226975
75642.9,217161,104551,88971.5,559913,87581.7,375916,118575,129953,189223,92120.4,420951,307613,85017.9,530119,26583,405564,60491,106035,34460.9,175384,376813,85152.3,283469,84038.3,62127,362496,211561,36211.7,25873.2,136006,127298,37203.8,73698.3,38010.2,217240,187965,95420.5,98359.8,58538.4,68981.1,10372.6,91669.7,36011.6,59602.4,129731,58535.7,94072.7,126577,22304.1,13320.1,55637.8,33557.8,129901,15362.2,21215,15645.2,19692,20934.9,89719.6,24114.1,66051.7,20526.5,27464.5,36346.6,46443.3,35815.8,85608.8,56607.2,36408.8,304148,32324.1,38808.7,229406,24316.7,81927.7,130620,17872.9,184139,449324,25713.8,398799,292554
28755.3,374886,322714,96936,1.17359e+006,48376.3,603141,95228.6,123948,487640,102750,224403,1.14711e+006,99031.3,467609,23214.1,577470,147333,44309.4,161927,153717,140853,234922,71431.2,211504,50235.8,222924,351520,14657.6,47366.9,152243,60010,38291.6,53322.8,68846.4,152998,112619,142027,281545,57329.8,51912.8,30478.2,54798.3,21500.4,36176,98966.5,48394.5,82422.6,126792,32357.1,9553.02,36684.8,32653.5,147649,41488.2,7996,29747.6,41178.6,29036.9,240600,15879.7,76361.3,28388.9,35386.4,43341.7,42197.3,48434.2,346576,82712.6,26757,192274,68720,63620.1,389383,10239.3,87364,135537,84102.9,153368,354268,28209.3,152700,280305
20939,246860,255543,341691,918026,50941,265540,63598.2,168541,186087,164006,683884,614179,453690,281915,12346.4,521944,143048,33573.6,240959,306080,50792.8,504458,52106.7,124362,85292.5,59613.9,142720,16205.4,32551.9,164038,89202.2,147886,27838.9,151179,130411,99586.2,66504.5,199366,31064.3,144238,32265.7,18172.1,27843.1,67141.6,102459,32512.5,112150,69960.8,19516.2,13017.6,49183.4,19736,94277.9,68624.4,5392.78,28451.1,31193.9,25261.7,87533.5,24995.6,47041.2,25084.7,30765.2,15110.8,26554,71681.1,150565,123738,12277.5,100453,78314.1,91027.7,323209,6999.69,51600.9,79601.1,57621.3,96121.6,381245,61676.6,241688,515831
46378.3,312228,788768,385986,413505,46417.9,129708,72202,207788,438939,255227,405963,208321,477063,142556,33169.9,482604,181644,37429.1,416823,280173,65938.1,456875,76496.7,83882.2,71021.8,51564,196112,20923.5,99616.9,494949,26317.3,89525,57424.8,87508.3,103829,199845,65027.1,71586,32572.2,94371.4,31968.7,19015,15380.9,15763.9,81107.8,69750.9,124577,33367.2,18546.4,10167.7,19036.1,62417.9,80081.9,45106.3,34826.2,20175.8,34739.1,41721.9,108944,19651.7,13279.1,13585.7,24745,20877.2,30861.9,25811.9,90680.6,169267,19508,94176.6,81506.1,23823.1,301167,14180.9,32405.4,89855.2,78719.9,37211.3,267971,56857.8,349391,271585
